,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Jakob Tanner AG,2019,Abdichter/in EFZ,Aadorf (TG)
1,1,peressini roofing AG,2019,Abdichtungspraktiker/in EBA,Aesch BL (BL)
2,1,Abdichtungsbau Durrer AG,2019,Agrarpraktiker/in EBA,Alpnach Dorf (OW)
3,1,Arthur Müggler & Co. AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Altstätten SG (SG)
4,1,Räss AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Altstätten SG (SG)
5,1,Thoma Dach Spengler,2019,Agrarpraktiker/in (Weinbereitung) EBA,Amden (SG)
6,1,Vogel Dach- und Fassadenbau AG,2019,Anlagen- und Apparatebauer/in EFZ,Amriswil (TG)
7,1,Weber Bedachungen,2019,Anlagenführer/in EFZ,Amriswil (TG)
8,1,Bortis Dächer und Fassaden,2019,Architekturmodellbauer/in EFZ,Baar (ZG)
9,1,Bürer Flachdach AG,2019,Assistent/in Gesundheit und Soziales EBA,Bad Ragaz (SG)
10,1,Carl Meier Sohn AG,2019,Augenoptiker/in EFZ,Bassersdorf (ZH)
11,1,E. Jörg AG,2019,Automatiker/in EFZ,Bätterkinden (BE)
12,1,Dörig Bedachungen Fassadenbau AG,2019,Automatikmonteur/in EFZ,Berg TG (TG)
13,1,De Luca Isolationen AG,2019,Automobil-Assistent/in EBA,Biel/Bienne (BE)
14,2,Riget AG,2019,Automobil-Fachmann/-frau EFZ,Bilten (GL)
15,1,schuler gebäudehüllen ag,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Cham (ZG)
16,1,Meli AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Chur (GR)
17,2,Meyer's Söhne AG,2019,Automobil-Mechatroniker/in EFZ,Chur (GR)
18,1,Colas Suisse SA - succursale de Crissier,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Crissier (VD)
19,1,Odermatt Bedachungen und Spenglerei AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Dallenwil (NW)
20,3,Schoop + Co. AG,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Dättwil AG (AG)
21,1,Giger GmbH Degersheim,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Degersheim (SG)
22,1,W. Bosshard AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Dietikon (ZH)
23,2,Walo Bertschinger AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Dietikon (ZH)
24,1,Dachbau Frei AG,2019,Baumaschinenmechaniker/in EFZ,Domat/Ems (GR)
25,1,Ackermann AG,2019,Baupraktiker/in EBA,Düdingen (FR)
26,1,Blemo AG,2019,Bauwerktrenner/in EFZ,Dürnten (ZH)
27,1,Banz AG,2019,Bekleidungsgestalter/in EFZ,Ebikon (LU)
28,1,Roth Bedachungen Fassaden AG,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Ebnat-Kappel (SG)
29,4,Geneux-Dancet SA - Echandens,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Echandens (VD)
30,1,Bohl AG,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Emmen (LU)
31,1,GLB Emmental,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Emmenmatt (BE)
32,1,BEPA Heinz Imboden AG,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Engelberg (OW)
33,1,Boretti AG,2019,Bekleidungsnäher/in EBA,Erlen (TG)
34,1,Hans Hehlen AG,2019,Betonwerker/in EFZ,Erlenbach ZH (ZH)
35,1,Sutech - Etanchéité SA,2019,Boden-Parkettleger/in EFZ,Evionnaz (VS (fr))
