,Addresse,City,Lat,Lng,Name,Rating
0,"Uetlibergstrasse 77, 8045 Zürich, Switzerland",Zürich,47.3621815,8.5186647,Vietnam,4.4
1,"Langstrasse 13, 8004 Zürich, Switzerland",Zürich,47.37500929999999,8.524481399999999,Pho Vietnam,4.4
2,"Gasometerstrasse 7, 8005 Zürich, Switzerland",Zürich,47.3837674,8.528472599999999,Co Chin Chin,4.4
3,"Sihlstrasse 97, 8001 Zürich, Switzerland",Zürich,47.3730058,8.532774700000001,Saigon,4.3
4,"Zypressenstrasse 50, 8004 Zürich, Switzerland",Zürich,47.3773136,8.512907,Pho 50,4.3
5,"Kehlhofstrasse 4, 8003 Zürich, Switzerland",Zürich,47.3698871,8.518454,Chez Nhan,4.1
6,"Schwamendingenstrasse 10, 8050 Zürich, Switzerland",Zürich,47.4080541,8.5471288,ASIAWAY RESTAURANT,4.5
7,"Schaffhauserstrasse 127, 8057 Zürich, Switzerland",Zürich,47.3966103,8.5405454,Hang's,4.8
8,"Schaffhauserstrasse 475, 8052 Zürich, Switzerland",Zürich,47.4202138,8.5483637,Đồng Quê,4.0
9,"Josefstrasse 42, 8005 Zürich, Switzerland",Zürich,47.3816528,8.532983999999999,Pho Na,4.2
10,"Birmensdorferstrasse 126, 8003 Zürich, Switzerland",Zürich,47.3702648,8.5207785,Petit Saigon,3.9
11,"Rolandstrasse 9, 8004 Zürich, Switzerland",Zürich,47.3789621,8.5266471,comingsoon,4.4
12,"Leutschenbachstrasse 71, 8050 Zürich, Switzerland",Zürich,47.4180105,8.55672,Aux Carrés,3.7
13,"Schaffhauserstrasse 127, 8057 Zürich, Switzerland",Zürich,47.3966086,8.5405398,Hang's,4.3
14,"Kanonengasse 31, 8004 Zürich, Switzerland",Zürich,47.3780174,8.5300015,Viet-Thai,4.5
15,"Bülachstrasse 25, 8057 Zürich, Switzerland",Zürich,47.4023763,8.5476948,Pho Saigon,4.6
16,"Militärstrasse 84, 8004 Zürich, Switzerland",Zürich,47.378798,8.529715999999999,Thach,4.6
17,"Rue de Zurich 43, 1201 Genève, Switzerland",Genf,46.212107,6.145225099999999,Sen,3.7
18,"Rue de la Servette 20, 1201 Genève, Switzerland",Genf,46.2104533,6.1373421,Maison d'Asie,3.9
19,"Rue de Carouge 73, 1205 Genève, Switzerland",Genf,46.1902031,6.1436584,Restaurant Le Mékong,4.3
20,"Boulevard de Saint-Georges 71, 1205 Genève, Switzerland",Genf,46.2015469,6.137962099999999,Bat Dat,4.1
21,"Boulevard de la Cluse 105, 1205 Genève, Switzerland",Genf,46.1958917,6.1487001,Thé ô D'Or,4.1
22,"Boulevard de Saint-Georges 68, 1205 Genève, Switzerland",Genf,46.2012981,6.138738699999999,Baï-Toey,4.4
23,"Rue Adhémar-Fabri 8-10, 1201 Genève, Switzerland",Genf,46.2089954,6.1488686,"Restaurant Le Jardin | Le Richemond, Hôtel 5 étoiles",4.7
24,"Rue du Cendrier 10, 1201 Genève, Switzerland",Genf,46.2069075,6.144695,Zhong Tong,4.2
25,"Quai du Mont-Blanc 13, 1201 Genève, Switzerland",Genf,46.2091577,6.149761,Restaurant Patara,4.2
26,"45 Margarethenstrasse Basel, 4053, Switzerland",Basel,47.546536,7.584477,Mum's Kitchen Vietnamese Food,4.5
27,"Friedrichstrasse 25, 4055 Basel, Switzerland",Basel,47.55688360000001,7.574793199999999,Saigon Moon,4.6
28,"Kapellenstrasse 37, 4052 Basel, Switzerland",Basel,47.5512094,7.602580599999999,Restaurant Phuoc Loc Tho,4.6
29,"Bruderholzstrasse 39, 4053 Basel, Switzerland",Basel,47.5435482,7.5949063,Knock on Wood - Vietnamese Fusion Cuisine,4.5
30,"Hauptstraße 179, 79576 Weil am Rhein, Germany",Basel,47.5937,7.62652,Restaurant Hanoi-Quan,4.0
