,Code,channel,comments,engagement_anger,engagement_haha,engagement_like,engagement_love,engagement_sorry,engagement_wow,link,postId,reach,shares,text,time,type
0,0,SRF Sport,2,0,0,17,1,1,0,http://www.facebook.com/permalink.php?story_fbid=2234729883218810&id=126546190703867,126546190703867_2234729883218810,15707,4,Die ZSC Lions verlieren das 3. Finalspiel gegen Lugano mit 0:3. Auch weil sie dreimal an der Torumrandung scheitern.,16.04.2018 23:27:00,Video
1,0,SRF Sport,1,0,1,30,1,0,0,http://www.facebook.com/permalink.php?story_fbid=2234718436553288&id=126546190703867,126546190703867_2234718436553288,17926,0,Die besten Bilder des 3. Spiels der Playoff-Finalserie gibt‘s hier:,16.04.2018 23:11:49,Photo
2,0,SRF Sport,1,0,0,19,1,0,0,http://www.facebook.com/permalink.php?story_fbid=2234703876554744&id=126546190703867,126546190703867_2234703876554744,8828,0,HC Lugano-Stürmer Alessio Bertaggia gelingt in Spiel 3 des Playoff-Finals gegen den ZSC das 2:0 für die Tessiner. Die Vorentscheidung beim 3:0-Heimsieg der Tessiner.,16.04.2018 22:59:22,Video
3,0,SRF Sport,13,2,1,89,5,5,1,http://www.facebook.com/permalink.php?story_fbid=2234682693223529&id=126546190703867,126546190703867_2234682693223529,10541,1,3:0-Heimsieg: Der HC Lugano verkürzt in der Serie auf 1:2. Die Tessiner zeigten sich vorne effizient und konnten hinten auf einen überragenden Merzlikins zählen.,16.04.2018 22:34:38,Photo
4,0,SRF Kultur,0,0,0,2,0,0,1,http://www.facebook.com/permalink.php?story_fbid=1772181079510371&id=106604179401411,106604179401411_1772181079510371,1103,0,"Imagine our planet has been invaded by aliens that are superior to us. Would it be wrong for them to eat our flesh? «Human Flesh», a philosophical thought experiment, is now also available in English: #filosofix 
https://www.youtube.com/watch?v=tSUz6Rj5oo4&t=0s&list=PL1NXgjXDUNJk_51d5AJzCj0Rl7avL5E9W&index=1",16.04.2018 21:12:00,Photo
5,0,SRF News,8,0,0,26,0,0,3,http://www.facebook.com/permalink.php?story_fbid=1615308228584152&id=289943751120613,289943751120613_1615308228584152,12251,9,"Auf der ehemaligen Sondermülldeponie in Kölliken hat der Rückbau der gigantischen Halle begonnen. Eine Herkulesaufgabe, für die es schweres Gerät braucht: Mit einem 170 Meter hohen Kran wird jeder Stahlträger einzeln abgebaut. ^pm",16.04.2018 20:50:03,Video
6,0,SRF News,9,0,2,46,0,0,2,http://www.facebook.com/permalink.php?story_fbid=1615297831918525&id=289943751120613,289943751120613_1615297831918525,12660,9,Mit 20 Minuten und 31 Sekunden nicht gerade eine Bestzeit für den Böögg am Zürcher Sechseläuten. Aber wenigstens stürzte er diesmal nicht vom Scheiterhaufen.,16.04.2018 20:33:20,Video
7,0,SRF Kultur,1,0,0,4,0,0,0,http://www.facebook.com/permalink.php?story_fbid=1772163189512160&id=106604179401411,106604179401411_1772163189512160,2859,1,"Bizarre Zeilen aus einem Werk, das Autor Clemens J. Setz mit Hilfe eines Algorithmus geschrieben hat.",16.04.2018 20:28:00,Photo
8,0,SRF News,0,0,1,6,0,4,1,http://www.facebook.com/permalink.php?story_fbid=1615291168585858&id=289943751120613,289943751120613_1615291168585858,6013,2,Heute schon die Füsse angeschaut? ^mk,16.04.2018 20:24:47,Video
9,0,SRF 3,15,0,0,133,6,0,0,http://www.facebook.com/permalink.php?story_fbid=10155805553793402&id=48486263401,48486263401_10155805553793402,56384,10,"«Männer getrauen sich oft nicht, mich anzusprechen. Und wenn ich sie anspreche, nehme ich Ihnen Ihre Aufgabe weg und sie fühlen sich noch verunsicherter» – Steff la Cheffe im SRF 3-«Focus».",16.04.2018 20:13:00,Link
