Region,Jahr,1.1.0 Anzahl Beschäftigte auf Etatstellen,1.2.0 Anzahl Etatstellen,1.3.0 Anzahl Beschäftigte auf Temporärstellen,1.4.0 Anzahl Temporärstellen,2.1.0 Laufmeter erschlossenes Archivgut (Papier),2.2.0 Gesamtanzahl der Verzeichnungseinträge,3.1.0 Laufmeter Neuzugänge im Berichtsjahr,3.2.0 Laufmeter neu erschlossenes Archivgut,3.3.0 Anzahl neu erfasster Verzeichnungseinträge,4.1.1 Anzahl Arbeitsplätze im Lesesaal,4.1.2 Anzahl Öffnungstage pro Woche,4.1.3 Öffnungszeiten pro Woche in Stunden,4.2.1 Anzahl Benutzende des Lesesaals,4.2.2 Anzahl Benutzungstage im Lesesaal,4.2.3 Anzahl bestellter Archivalieneinheiten,4.2.4 Anzahl schriftlicher Antworten,5.1.1 Anzahl Seiten der Website,5.1.2 Anzahl Seitenaufrufe auf der Website,5.1.3 Anzahl Besuchende der Webseite,5.1.4 Anzahl Besuche der Website (länger als 15 Minuten),5.2.1 Anzahl online recherchierbarer Verzeichnungseinheiten,5.2.2 Anzahl Seitenaufrufe im Online-Verzeichnis,5.2.3 Anzahl Besuchende im Online-Verzeichnis,5.2.4 Anzahl Besuche im Online-Verzeichnis (länger als 15 Minuten),5.3.1 Anzahl online nutzbarer Archivalieneinheiten,5.3.2 Anzahl online genutzter Archivalieneinheiten,5.3.3 Anzahl Besuchende im Viewer,5.3.4 Anzahl Besuche im Viewer
Total,2013,409,285.8,137,77.4,354’934,14’720’429,9’330,10’317,978’829,576,Ø 4.3,Ø 35.2,12’375,45’263,173’647,17’233,2’224,4’716’312,493’385,71’904,6’679’302,17’331’061,349’238,758’148,2’405’205,2’813’307,146’638,216’447
Total,2014,420,300.7,185,83.3,363’576,16’501’395,11’378,7’063,1’091’259,574,Ø 4.5,Ø 36.6,11’735,39’975,171’582,18’329,2’344,3’104’010,548’723,54’613,7’099’392,18’991’162,402’011,1’209’296,3’327’327,263’424,2’064,193’725
Total,2015,420,306.6,222,85.7,365’227,16’642’645,10’984,9’224,859’663,556,Ø 4.4,Ø 35.9,11’629,36’646,172’733,17’974,2’519,3’926’310,872’797,50’610,7’445’249,24’829’541,359’190,938’542,3’046’641,5’502’534,49’603,138’105
Total,2016,420,294.6,196,75.3,376’434,16’717’172,10’004,8’426,1’054’958,576,Ø 5,Ø 36,10’610,40’873,148’232,16’804,2’827,2’520’685,667’636,111’513,9’208’365,19’001’296,1’386’984,1’369’550,3’188’787,10’487’800,53’668,359’411
AG : Aargau,2013,11,10,n.a.,8.9,10’600,n.a.,220,256,6’498,19,5,38,229,823,2’748,449,61 **,23596 **,4016 **,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AG : Aargau,2014,10,8.7,28,13.4,10’868,239’809,248,300,26’713,19,5,38,244,923,4’952,426,59,6’957,5’084,n.a.,36’058,n.a.,n.a.,n.a.,0,0,0,0
AG : Aargau,2015,10,8.7,48,18,11’161,289’946,297,267,47’615,19,5,38,240,815,2’708,501,59,7’116,4’603,n.a.,50’137,37’039,3’856,18’158,0,0,0,0
AG : Aargau,2016,9,8.4,31,13.7,11’401,287’831,240,185,8’865,19,4,34,286,685,2’333,511,59,7’564,4’829,n.a.,110’937,98’793,8’146,46’683,1’500,n.a.,n.a.,n.a.
AI : Appenzell Innerrhoden,2013,1,1,1,0.3,n.a.,18’537,63,51,4’702,4,5,31,63,110,425,59,10,n.a.,n.a.,n.a.,0,0,0,0,0,0,0,0
AI : Appenzell Innerrhoden,2014,1,1,1,0.2,n.a.,24’284,32,52,5’747,4,5,31,58,124,482,26,10,n.a.,n.a.,n.a.,0,0,0,0,0,0,0,0
AI : Appenzell Innerrhoden,2015,1,1,0,0,n.a.,86‘438,21,61,62’154,4,5,31,69,132,932,44,10,1’477,n.a.,n.a.,0,0,0,0,0,0,0,0
AI : Appenzell Innerrhoden,2016,1,1,0,0,n.a.,107’519,34,70,21’081,4,5,31,66,110,746,38,12,1’761,n.a.,n.a.,21’554,n.a,n.a,n.a,0,0,0,0
AR : Appenzell Ausserrhoden,2013,4,2.8,0,0,1’620,198’083,20,13,9’914,8,4,30,135,290,1’470,804,22,8’125,6’988,n.a.,0,0,0,0,0,0,0,0
AR : Appenzell Ausserrhoden,2014,4,2.9,0,0,1’640,214’564,20,20,16’481,8,4,30,126,234,926,780,17,21’567,2’876,n.a.,n.a.,n.a.,n.a.,n.a.,159,27’086,n.a.,n.a.
AR : Appenzell Ausserrhoden,2015,5,3.3,0,0,1’665,233’321,44,25,18’757,8,4,30,112,191,1’018,514,14,16’662,1’725,n.a.,n.a.,n.a.,n.a.,n.a.,163,26’662,n.a.,n.a.
AR : Appenzell Ausserrhoden,2016,5,3.3,0,0,1’694,252’667,50,29,19’346,8,4,30,83,138,607,618,12,19’335,1’436,n.a.,n.a.,n.a.,n.a.,n.a.,163,52’731,n.a.,n.a.
