;"Statistiques d'archives suisses 
Schweizerische Archivstatistik
2013-2016
";Total;;;;AG : Aargau;;;;AI : Appenzell Innerrhoden;;;;AR : Appenzell Ausserrhoden;;;;BE : Bern;;;;BL : Basel Land;;;;BS : Basel Stadt;;;;FR : Fribourg;;;;GE : Genève;;;;GL : Glarus;;;;GR : Graubünden;;;;JU : Jura;;;;LU : Luzern;;;;NE : Neuchâtel;;;;NW : Nidwalden;;;;OW : Obwalden;;;;SG : Sankt Gallen;;;;SH : Schaffhausen;;;;SO : Solothurn;;;;SZ : Schwyz;;;;TG : Thurgau;;;;TI : Ticino;;;;UR : Uri;;;;VD : Vaud;;;;VS : Valais;;;;ZG : Zug;;;;ZH : Zürich;;;;Bundesarchiv;;;;Liechtenstein;;;
;;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016;2013;2014;2015;2016
1;"Ressources des services d’archives
Archivressourcen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Nombre d’employés à durée indéterminée plein temps du service
Anzahl Beschäftigte auf Etatstellen";409;420;420;420;11;10;10;9;1;1;1;1;4;4;5;5;23;23;22;22;10;12;10;10;25;25;25;25;8;8;8;8;20;19;19;19;2;3;3;3;12;13;13;12;4;4;n.a.;3;25;25;25;25;8;8;8;8;5;5;6;6;3;4;4;4;14;14;14;14;4;5;5;4;6;7;7;8;6;6;6;6;16;16;16;16;21;18;20;19;7;7;7;7;15;15;15;15;12;12;12;12;13;13;13;13;50;60;60;60;75;74;77;78;9;9;9;8
;"Nombre de postes fixes à plein temps
Anzahl Etatstellen";285.8;300.7;306.6;294.6;10.0;8.7;8.7;8.4;1.0;1.0;1.0;1.0;2.8;2.9;3.3;3.3;15.4;15.5;15.5;15.5;8,2;8.2;8.2;8.2;17.6;17.2;16.6;16.7;6.0;6.0;6.0;6.0;15.6;15.6;15.6;15.2;1.3;2.3;2.3;2.3;8.0;8.0;8.0;8.0;3.0;3.0;n.a.;2.2;14.4;13.9;13.9;13.9;6.7;6.7;6.7;6.7;4.0;4.0;4.0;4.0;2.5;3.3;3.3;3.3;11,6;11.6;11.6;11.6;2.8;3.8;3.8;2.8;5,6;6,6;6.6;7.6;5.0;5.0;5.0;5.0;11.3;11.3;11.3;12.3;17.7;16.7;16.2;15.2;5.1;5.1;5.1;4.7;13.1;13.1;13.1;13,1;9.6;9.6;9.6;9.6;8.3;8.3;8.3;8.3;36.8;36.8;36.8;36.8;61.4;56.7;59.7;59.5;6.5;6.5;6.4;6.5
;"Nombre d’employés à durée déterminée
Anzahl Beschäftigte auf Temporärstellen";137;185;222;196;n.a.;28;48;31;1;1;0;0;0;0;0;0;1;2;2;4;3;4;2;2;4;5;4;5;5;5;4;4;0;1;5;4;3;2;2;2;3;3;5;5;3;4;n.a.;5;3;1;1;0;5;6;8;12;3;4;3;2;1;1;1;1;8;13;12;10;3;3;2;2;0;0;0;1;3;2;3;2;7;13;8;8;5;6;9;8;1;1;1;3;24;29;30;26;10;10;28;15;4;6;7;6;21;27;30;30;8;3;2;7;8;5;5;1
;"Nombre de postes à durée déterminée
Anzahl Temporärstellen";77.4;83.3;85.7;75.3;8.9;13.4;18.0;13.7;0.3;0.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.5;3.0;0,7;1.0;1.0;1.0;1.7;2.5;2.2;1.9;4.0;4.0;2.7;2.6;0.0;0.2;0.7;0.8;1.4;1.2;1.2;1.2;1.0;1.0;1.2;1.2;1.0;1.0;n.a.;3.1;2.1;0.4;0.4;0.0;2.2;1.5;2.3;1.6;1.0;1.5;1.2;1.1;0.2;0.2;0.2;0.2;2.1;2.8;2.6;2.1;1.0;1.0;1.0;0.8;0.0;0.0;0.0;0.3;1.0;0.6;0.7;0.7;1.5;1.7;1.7;1.4;3.6;3.9;4.1;4.1;0.1;0.3;0.1;0.2;8.4;9.7;7,6;8,4;5.0;5.0;15.0;4.0;0.8;2.0;1.6;1.6;19.2;21.3;22.3;22.3;8.0;3.0;2.0;6.5;2.0;2.0;2.0;n.a.
2;"Dimensions des services d’archives
Archivdimensionen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Importance matérielle totale des fonds d’archives (papier), mètres linéaires
Gesamtumfang des erschlossenen Archivguts (Papier), Laufmeter";354’934;363’576;365’227;376’434;10’600;10’868;11’161;11’401;n.a.;n.a.;n.a.;n.a.;1’620;1’640;1’665;1’694;26’000;26’500;27’300;27’852;14’958;16’126;16’281;16’286;20’300;20’586;18’158;18’384;12’500;14’500;15’000;15’300;29’000;29’000;29’800;29’900;551;583;640;724;6’790;6’815;6’860;6’924;3’980;4’020;n.a.;4’000;16’500;16’800;16’900;17’000;9’200;9’620;9’760;10’050;4’500;4’300;4’200;4’100;1’024;1’154;1’320;1’494;6’944;7’138;7’263;7’948;3’100;3’200;3’300;3’345;n.a.;n.a.;n.a.;n.a.;4’489;4’710;4’852;4’932;5’000;5’000;5’200;5’266;22’954;23’287;23’464;23’599;2’018;2’066;2’089;2’154;32’867;33’418;34’945;35’489;12’900;12’900;13’000;13’262;5’887;6’113;6’308;6’493;32’334;33’006;34’072;35’247;59’118;60’226;61’390;63’290;9’800;10’000;10’300;10’300
;"Nombre total d’articles décrits
Gesamtanzahl der Verzeichnungseinträge";14’720’429;16’501’395;16’642’645;16’717’172;n.a.*;239’809;289’946;287’831;18’537;24’284;86‘438 ;107’519;198’083;214’564;233’321;252’667;478’342;538’229;546’178;555’285;490‘992;554’596;568’384;599’428;547’466;578’127;619’312;633’616;581’153;610’650;660’429;716’000;144’800;146’942;151’029;155’598;219’270;220’119;226’359;228’751;170’000;172’300;178’550;183’230;122’491;188’589;n.a.;219’955;1’018’600;1’085’000;1’102’000;1’118’000;90’858;98’898;100’800;112’659;87’064;97’309;99’977;109’143;126’255;136’448;154’943;173’750;489’776;533’101;571’519;653’738;94’670;99’000;105’441;115’869;0;0;0;0;191’755;209’314;253’022;189’687;391’089;448’620;496’384;568’479;830’000;841’600;854’800;909’800;n.a.;n.a.;n.a.;110’000;519’470;577’522;604’149;710’264;250’000;260’000;263’604;267’893;140’695;172’423;193’003;207’364;923’794;1’191’970;1’402’525;1’636’065;5’418’152;5’560’367;5’725’367;5’894’581;1’668’109;1’701’614;1’737’987;1’782’264
3;"Nouvelles entrées
Neuzugang und Erschliessung von Archivgut";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;
;"Importance des nouvelles entrées d'archives au cours de l'année de référence (papier), mètres linéaires
Umfang der Neuzugänge im Berichtsjahr (Papier), Laufmeter";9’330;11’378;10’984;10’004;220;248;297;240;63;32;21;34;20;20;44;50;552;747;1’111;1’000;1’400;1’162;395;386;271;475;229;253;375;405;476;276;81;158;600;100;43;56;209;67;90;100;116;163;22;80;n.a.;n.a.;408;1’130;723;480;104;420;140;290;160;440;270;183;25;138;256;327;133;324;142;107;90;50;118;43;206;13;109;119;151;236;143;134;682;275;472;1’138;48;333;177;135;81;57;135;38;844;551;1’529;544;355;615;260;595;265;288;170;208;838;1’577;955;1’025;1’473;1’108;1’563;1’900;330;340;325;170
;"Accroissement des fonds d’archives traités (papier), mètres linéaires
Zuwachs an neu erschlossenem Archivgut (Papier), Laufmeter";10’317;7’063;9’224;8’426;256;300;267;185;51;52;61;70;13;20;25;29;332;598;806;552;n.a.;n.a.;n.a.;n.a.;289;286;431;245;500;512;1’314;268;108;216;180;140;23;32;57;84;10;25;45;64;12;120;n.a.;n.a.;300;210;100;100;100;80;100;80;189;387;301;228;29;130;126;234;139;194;125;108;119;100;61;19;0;3;2;5;83;221;142;80;25;154;199;66;387;321;654;395;118;48;22;65;4’618;598;673;1’430;250;450;710;720;210;226;195;184;683;672;1’066;1’175;1’473;1’108;1’563;1’900;n.a.;n.a.;n.a.;n.a.
;"Nombre de nouveaux articles décrits
Anzahl der neu erfassten Verzeichnungseinträge";978’829;1’091’259;859’663;1’054’958;6’498;26’713;47’615;8’865;4’702;5’747;62’154;21’081;9’914;16’481;18’757;19’346;52’000;62’437;11’456;10’018;44’832;60’000;13’788;31’044;17’448;30’661;41’185;14’304;68’344;29’497;49’779;55’571;5’800;2’773;4’087;4’569;832;849;6’240;2’392;24’000;2’300;6’250;4’680;n.a.;66’098;n.a.;69’469;46’200;67’000;16’000;16’000;13’658;8’040;1’902;11’859;4’255;10’682;2’668;9’166;703;21’620;18’495;30’606;85’500;43’325;38’418;82’219;8’086;6’000;6’441;8’919;0;0;0;0;18’584;17’559;11’357;n.a.*;38’848;57’531;47’764;72’095;15’500;11’600;13’200;55’000;n.a.;n.a.;n.a.;n.a.;40’056;58’019;26’585;106’115;n.a.;10’000;3’604;4’289;2’856;31’728;20’580;14’361;159’630;268’176;210’555;233’540;171’568;142’215;165’000;169’450;139’015;34’208;15’783;24’229
4;"Consultation
Benutzung";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.1;"Infrastructure et heures d'ouverture
Infrastruktur und Öffnungszeiten";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Nombre de places dans la salle de lecture
Anzahl Arbeitsplätze im Lesesaal";576;574;556;576;19;19;19;19;4;4;4;4;8;8;8;8;36;36;36;36;18;12;12;12;36;36;36;36;20;20;20;20;45;45;45;45;8;6;6;6;21;21;21;21;16;16;n.a.;16;26;26;26;26;12;12;12;12;8;9;9;9;2;4;4;4;15;15;15;15;8;8;8;8;20;20;20;20;12;12;12;12;20;20;20;20;20;20;20;20;31;31;31;31;40;40;40;40;12;12;12;16;12;15;13;13;54;54;54;54;45;45;45;45;8;8;8;8
;"Nombre de jours d’ouverture par semaine
Anzahl Öffnungstage pro Woche";Ø 4.3;Ø 4.5;Ø 4.4;Ø 5;5;5;5;4;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;4;5;5;5;5;5;5;5;9;3;3;3;3;5;5;5;5;5;5;n.a.;5;4;4;4;4;4;4;4;4;5;5;4;4;0;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;5;5;5;4;5;5;5;5;6;6;6;6;5;5;5;5;6;6;6;6;5;5;5;5;5;5;5;4;3;3;3;3;5;5;5;5
;"Nombre d'heures d’ouverture par semaine
Öffnungszeiten pro Woche in Stunden";Ø 35.2;Ø 36.6;Ø 35.9;Ø 36;38;38;38;34;31;31;31;31;30;30;30;30;32;32;32;32;32;32;32;32;40;40;40;36;40;40;40;40;62;62;62;62;18;18;23;23;36;36;36;36;44;44;n.a.;36;37;37;37;37;36;36;24;24;40;40;32;32;0;40;40;40;33;33;33;33;28;28;28;28;28;28;28;28;38;38;35;35;36;36;36;32;42;42;42;42;41;41;41;41;37;37;37;37;47;47;47;51;33;33;39;39;42;42;42;41;30;30;30;30;38;38;38;38
4.2;"Consultation des fonds d'archives
Benutzung des Archivguts";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Nombre d'usagers de la salle de lecture 
Anzahl Benutzer/innen des Lesesaals";12’375;11’735;11’629;10’610;229;244;240;286;63;58;69;66;135;126;112;83;828;897;802;780;757;680;607;496;1’495;1’307;1’294;1’523;670;634;615;623;441;732;634;605;85;85;91;87;385;360;330;410;210;n.a.;n.a.;n.a.;587;582;553;594;189;240;257;295;299;300;385;277;53;74;66;110;353;282;274;338;110;114;81;102;247;253;217;193;600;134;103;119;269;275;251;235;404;399;324;358;149;122;121;107;1’130;1’095;1’043;1’129;274;299;277;254;265;255;242;304;1’302;1’177;1’079;1’095;729;869;1’412;1‘456;117;142;150;141
;"Nombre de journées de travail dans la salle de lecture
Anzahl Benutzungstage im Lesesaal";45’263;39’975;36’646;40’873;823;923;815;685;110;124;132;110;290;234;191;138;2’333;2’582;2‘505;2’440;n.a.;n.a.;n.a.;n.a;3’792;3’612;3’271;3’854;2’513;2’173;1’911;2’356;3’663;3’402;3’303;2’707;256;275;300;256;1’539;1’426;1’234;1’513;110;193;n.a.;n.a.;3’119;2’911;3’132;3’033;677;916;808;883;860;751;599;518;118;175;158;243;661;726;821;913;466;366;393;435;684;878;730;589;545;461;401;476;903;590;548;871;6’408;5’714;4’789;5’550;1’010;310;258;243;5’305;3’912;3’849;3’916;1’122;1’390;1’310;1’184;736;706;666;675;4’134;4’241;3’619;3’288;2’643;3’197;2’948;3’681;443;369;460;316
;"Nombre d'unités archivistiques commandées
Anzahl bestellter Archivalieneinheiten";173’647;171’582;172’733;148’232;2’748;4’952;2’708;2’333;425;482;932;746;1’470;926;1’018;607;8’805;9’732;8‘887 ;9’659;n.a.;n.a.;n.a.;n.a.;18’107;17’077;17’199;18’651;9’656;9’821;8’806;10’940;8’290;7’129;7’719;7’099;1’724;2’714;1’835;1’553;5’524;4’355;4’453;5’753;805;974;n.a.;1’226;9’158;7’894;8’389;9’041;6’391;8’531;6’942;7’242;3’128;2’411;1’480;2’092;536;972;789;1’076;3’131;3’501;2’803;3’896;1’499;1’599;1’319;1’444;1’420;1’991;1’577;1’316;2’078;1’475;1’405;2’414;4’012;4’255;4’129;4’255;4’854;4’156;3’684;4’276;4’850;2’889;2’090;1’889;29’486;30’274;41’085;30’926;4’528;3’006;3’036;3’261;3’134;4’478;5’089;3’258;9’787;11’695;11’956;11’827;25’948;30’741;30’686;39‘177;2’153;3’284;1’604;1’452
;"Nombre de réponses écrites
Anzahl schriftlicher Antworten";17’233;18’329;17’974;16’804;449;426;501;511;59;26;44;38;804;780;514;618;505;525;651;826;341;221;n.a.;n.a.;1’065;1’146;1’168;1’329;540;590;600;n. a.;434;526;390;650;282;369;381;314;534;507;630;555;439;513;n.a.;539;446;427;543;620;432;466;433;506;178;159;193;276;104;126;188;248;1’070;1’212;1’281;1’367;566;933;690;734;256;293;271;296;908;1’061;1’560;1’250;525;556;634;556;1’300;1’350;1’053;1’123;502;579;609;691;1’100;1’157;1’145;1’073;234;111;240;250;369;455;900;1’029;869;942;961;831;2’227;2’230;2’051;1‘712;695;643;343;574
5;"Utilisation des offres de service en ligne
Online-Angebote und deren Benutzung";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.1;"Site Internet du service d’archives
Website des Archivs";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Nombre de pages du site Internet
Anzahl Seiten der Website";2’224;2’344;2’519;2’827;61 **;59;59;59;10;10;10;12;22;17;14;12;30;30;30;36;n.a.;n.a.;n.a.;n.a.;270;270;280;290;44;44;76;78;466;487;514;490;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;8;n.a.;n.a.;29;272;291;234;339;7;7;7;7;44;45;44;45;n.a.;25;26;27;n.a.;n.a.;58;61;95;95;96;100;52;52;52;52;7;7;8;19;21;21;21;21;29;29;55;56;100;100;100;100;350;350;350;350;76;76;36;187;48;48;34;25;98;98;98;99;132;140;274;290;43;43;43;43
;"Nombre de pages vues
Anzahl Seitenaufrufe auf der Website ";4’716’312;3’104’010;3’926’310;2’520’685;23596 **;6’957;7’116;7’564;n.a.;n.a.;1’477;1’761;8’125;21’567;16’662;19’335;77’270;93‘924;65‘460 *;97’482;n.a.;n.a.;n.a.;n.a.;1’139’352;363’903;103’389;106’655;1’146’464;208’439;1’215’901;288’559;129’722;129’814;128’605;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;14’983;167’000;160’000;150’000;143’000;n.a.;n.a.;n.a.;n.a.;10’563;9’209;8’119;7’662;n.a.;3’898;5’019;5’475;n.a.;n.a.;409’661;419’110;n.a.;n.a.;n.a.;n.a;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;13’647;17’288;18’904;20’838;n.a.;44’305;30’055;38’251;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a;1’202’415;9’605;10’748;n.a.;n.a.;11’699;12’410;10’917;10’070;511’884;107’809;121’796;137’299;1’448’372;2’007’663;1’698’689;226;42’609;n.a.;n.a.;n.a.
;"Nombre de visiteurs uniques du site Internet
Anzahl Besuchende der Webseite ";493’385;548’723;872’797;667’636;4016 **;5’084;4’603;4’829;n.a.;n.a.;n.a.;n.a.;6’988;2’876;1’725;1’436;59’350;73’857;38’900 *;47’421;n.a.;n.a.;n.a.;n.a.;72’861;24’937;26’620;29’913;10’022;17’415;16’271;22’320;n.a.;105’833;103’861;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;11’611;39’000;36’000;31’000;28’000;n.a.;n.a.;n.a.;n.a.;6’198;5’583;5’208;4’617;n.a.;2’471;3’191;3’284;n.a.;n.a.;309’201;329’866;n.a.;n.a.;n.a.;n.a;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;8’447;10’437;11’823;13’939;n.a.;34’189;25’069;31’499;n.a.;n.a.;n.a.;n.a.;174’565;195’787;228’089;138’824;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;87’910;108’111;106’136;77;28’044;n.a.;n.a.;n.a.
